Liste des candidats,Voix,% Inscrits,% Exprimés,Commune
M. Nicolas DUPONT-AIGNAN,15,0.48,1.43,Le Marigot
M. Yannick JADOT,11,0.35,1.05,Le Marigot
M. Philippe POUTOU,7,0.22,0.67,Le Marigot
M. Jean LASSALLE,5,0.16,0.48,Le Marigot
M. Fabien ROUSSEL,2,0.06,0.19,Le Marigot
M. Jean-Luc MÉLENCHON,1344,19.55,55.45,Le Marin
M. Emmanuel MACRON,411,5.98,16.96,Le Marin
Mme Marine LE PEN,305,4.44,12.58,Le Marin
Mme Valérie PÉCRESSE,75,1.09,3.09,Le Marin
Mme Anne HIDALGO,60,0.87,2.48,Le Marin
M. Éric ZEMMOUR,51,0.74,2.1,Le Marin
M. Nicolas DUPONT-AIGNAN,51,0.74,2.1,Le Marin
M. Yannick JADOT,50,0.73,2.06,Le Marin
M. Jean LASSALLE,27,0.39,1.11,Le Marin
Mme Nathalie ARTHAUD,21,0.31,0.87,Le Marin
M. Fabien ROUSSEL,15,0.22,0.62,Le Marin
M. Philippe POUTOU,14,0.2,0.58,Le Marin
M. Jean-Luc MÉLENCHON,740,17.35,45.43,Le Morne-Rouge
M. Emmanuel MACRON,343,8.04,21.06,Le Morne-Rouge
Mme Marine LE PEN,271,6.36,16.64,Le Morne-Rouge
Mme Valérie PÉCRESSE,65,1.52,3.99,Le Morne-Rouge
Mme Anne HIDALGO,50,1.17,3.07,Le Morne-Rouge
M. Nicolas DUPONT-AIGNAN,39,0.91,2.39,Le Morne-Rouge
M. Éric ZEMMOUR,36,0.84,2.21,Le Morne-Rouge
M. Yannick JADOT,24,0.56,1.47,Le Morne-Rouge
Mme Nathalie ARTHAUD,22,0.52,1.35,Le Morne-Rouge
M. Philippe POUTOU,20,0.47,1.23,Le Morne-Rouge
M. Jean LASSALLE,11,0.26,0.68,Le Morne-Rouge
M. Fabien ROUSSEL,8,0.19,0.49,Le Morne-Rouge
M. Jean-Luc MÉLENCHON,394,23.94,51.24,Le Morne-Vert
M. Emmanuel MACRON,136,8.26,17.69,Le Morne-Vert
Mme Marine LE PEN,102,6.2,13.26,Le Morne-Vert
Mme Valérie PÉCRESSE,26,1.58,3.38,Le Morne-Vert
Mme Anne HIDALGO,24,1.46,3.12,Le Morne-Vert
M. Éric ZEMMOUR,21,1.28,2.73,Le Morne-Vert
M. Nicolas DUPONT-AIGNAN,19,1.15,2.47,Le Morne-Vert
M. Yannick JADOT,15,0.91,1.95,Le Morne-Vert
M. Jean LASSALLE,12,0.73,1.56,Le Morne-Vert
M. Philippe POUTOU,10,0.61,1.3,Le Morne-Vert
Mme Nathalie ARTHAUD,6,0.36,0.78,Le Morne-Vert
M. Fabien ROUSSEL,4,0.24,0.52,Le Morne-Vert
M. Jean-Luc MÉLENCHON,307,21.2,57.06,Le Prêcheur
Mme Marine LE PEN,102,7.04,18.96,Le Prêcheur
M. Emmanuel MACRON,66,4.56,12.27,Le Prêcheur
Mme Valérie PÉCRESSE,12,0.83,2.23,Le Prêcheur
Mme Anne HIDALGO,10,0.69,1.86,Le Prêcheur
Mme Nathalie ARTHAUD,9,0.62,1.67,Le Prêcheur
M. Jean LASSALLE,9,0.62,1.67,Le Prêcheur
M. Éric ZEMMOUR,6,0.41,1.12,Le Prêcheur
M. Nicolas DUPONT-AIGNAN,6,0.41,1.12,Le Prêcheur
M. Yannick JADOT,5,0.35,0.93,Le Prêcheur
M. Philippe POUTOU,4,0.28,0.74,Le Prêcheur
M. Fabien ROUSSEL,2,0.14,0.37,Le Prêcheur
M. Jean-Luc MÉLENCHON,3943,21.8,52.81,Le Robert
Mme Marine LE PEN,1172,6.48,15.7,Le Robert
M. Emmanuel MACRON,1121,6.2,15.01,Le Robert
Mme Valérie PÉCRESSE,281,1.55,3.76,Le Robert
M. Éric ZEMMOUR,218,1.21,2.92,Le Robert
Mme Anne HIDALGO,214,1.18,2.87,Le Robert
M. Nicolas DUPONT-AIGNAN,179,0.99,2.4,Le Robert
M. Yannick JADOT,93,0.51,1.25,Le Robert
Mme Nathalie ARTHAUD,91,0.5,1.22,Le Robert
M. Jean LASSALLE,70,0.39,0.94,Le Robert
M. Philippe POUTOU,56,0.31,0.75,Le Robert
M. Fabien ROUSSEL,28,0.15,0.38,Le Robert
M. Jean-Luc MÉLENCHON,1421,17.58,51.06,Le Vauclin
Mme Marine LE PEN,502,6.21,18.04,Le Vauclin
M. Emmanuel MACRON,449,5.55,16.13,Le Vauclin
Mme Valérie PÉCRESSE,91,1.13,3.27,Le Vauclin
M. Éric ZEMMOUR,83,1.03,2.98,Le Vauclin
Mme Anne HIDALGO,66,0.82,2.37,Le Vauclin
M. Nicolas DUPONT-AIGNAN,52,0.64,1.87,Le Vauclin
Mme Nathalie ARTHAUD,29,0.36,1.04,Le Vauclin
M. Jean LASSALLE,26,0.32,0.93,Le Vauclin
M. Fabien ROUSSEL,24,0.3,0.86,Le Vauclin
M. Yannick JADOT,23,0.28,0.83,Le Vauclin
M. Philippe POUTOU,17,0.21,0.61,Le Vauclin
M. Jean-Luc MÉLENCHON,640,19.4,54.1,Les Anses-d'Arlet
M. Emmanuel MACRON,190,5.76,16.06,Les Anses-d'Arlet
Mme Marine LE PEN,158,4.79,13.36,Les Anses-d'Arlet
